Age ,Gender,Attribute,Sub_attribute,Budget,Gift_1,Gift_2,Gift_3,Gift_4,Gift_5,Gift 6_(optional),URL_status_1,URL_status_2,URL_status_3,URL_status_4,URL_status_5,URL_status_6
15-20,Male,Creative,Visual_Artist,25-50,https://www.urbanoutfitters.com/en-ca/shop/fujifilm-fujicolor-quicksnap-flash-400-35mm-disposable-camera?adpos=1o1&cm_mmc=SEM-_-Google-_-PLA-_-177020967658_product_type_a_product_type_media_product_type_camera_brand&color=095&creative=217450512889&device=c&gclid=Cj0KCQjwpcLZBRCnARIsAMPBgF1TbJyOlH1ThPZsiP2pKZ_kmXz5A5FZf3y5XSh1lSgmoMnNqHPJcmIaAhTtEALw_wcB&inventoryCountry=CA&matchtype=&mrkgadid=3084095100&mrkgcl=1033&network=g&product_id=46699708&size=ALL&utm_campaign=PLA,https://www.walmart.com/ip/Sketching-Drawing-Painting-Kit-Sketch-Pad-Includes-Watercolors-Brush-Colored-Pencils-Sharpener-Oil-Pastels-Kneaded-eraser/241826586,https://www.bhphotovideo.com/bnh/controller/home?A=details&O=&Q=&gclid=CjwKCAjw2MTbBRASEiwAdYIpsanngxBZbP8xJFXJ1IMEoHvjTeNYNQ5HkOAr_VGunakSxkwG4CSQOxoCwosQAvD_BwE&is=REG&pcur=CAD&sku=527838,https://www.urbanoutfitters.com/en-ca/shop/smartphone-magnifier-20?category=SEARCHRESULTS&color=001,https://www.etsy.com/ca/listing/598604855/louis-vuitton-art-poster-star-wars-art?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=hypebeast%20poster&ref=sr_gallery-1-17,-,#ERROR!,200,200,#ERROR!,200,#ERROR!
15-20,Male,Creative,Musician,25-50,https://www.walmart.ca/en/ip/sharper-image-disco-party-light-bulb/6000197327342?cmpid=sem_pla_google_en_none_6000197327342_6000188914393600019717237660001971722706000197307076_None&cmpid=sem_pla_google_en_none_868545256_45415463938_None&gclid=CjwKCAjwwo7cBRBwEiwAMEoXPAjoHMvPPKjuCcEFnFCqSjs1iugTCcbuUldg_V_EENBDJ2RmeZw5YBoC1pMQAvD_BwE,https://www.urbanoutfitters.com/en-ca/shop/photive-sphere-wireless-bluetooth-speaker?category=speakers&color=040&quantity=1&size=ONE%20SIZE&type=REGULAR,https://www.bestbuy.ca/en-ca/product/q7-portable-wireless-bluetooth-karaoke-microphone-built-in-speaker-in-black/11986822.aspx?,https://www.walmart.ca/en/ip/turtle-beach-ear-force-recon-50x-gaming-headset/6000195089789?cmpid=sem_pla_google_en_none_6000195089789_100122111733430_1681&cmpid=sem_pla_google_en_none_869128694_43341807746_None&gclid=EAIaIQobChMIkqCS067q3AIVC4nICh0j4QXgEAQYBCABEgKH5PD_BwE,https://www.allposters.ca/-sp/The-Beatles-Sgt-Peppers-Album-Inner-Gatefold-posters_i14373680_.htm,https://support.spotify.com/ca-en/article/spotify-gift-cards/,200,#ERROR!,200,200,200,200
15-20,Male,Creative,Fashion_Enthusiast,25-50,https://www.hotsox.com/mens-starry-night-socks.aspx,https://www.etsy.com/ca/listing/197205573/express-shipping-men-bracelet-mens?ref=unav_listing-other-18,https://www.sportchek.ca/product/332280743.html?gclid=Cj0KCQjwk_TbBRDsARIsAALJSOZvGMl9T6E71nZJpMSIEN5GclLujci3P-XRQTEuRdqRdsPskEk4Tn0aAp9TEALw_wcB&gclsrc=aw.ds&dclid=CIuMlp32gN0CFVdFAQodAj0PkQ#332280743=332280744,https://kickposters.com/collections/all-posters/products/sneaker-posters-v1,https://www.urbanoutfitters.com/en-ca/shop/champion-classic-twill-baseball-hat?adpos=1o9&cm_mmc=SEM-_-Google-_-PLA-_-82530857824product_type_l1m%26product_type_l2acc%26product_type_l3hats&color=001&creative=217450512928&device=c&gclid=CjwKCAjw2MTbBRASEiwAdYIpscdg1sLu0vmwCyUICLN1t2j68bzAIrZxSk7-G40oXEbYiMY4oLWt2BoC4McQAvD_BwE&inventoryCountry=CA&matchtype=&mrkgadid=2988725299&mrkgcl=1033&network=g&product_id=45923463&size=ALL&utm_campaign=PLA,http://www.asos.com/nike/nike-heritage-bumbag-in-black-ba5750-010/prd/9061169?browsecountry=CA&currencyid=3&istCompanyId=4a794665-4c4f-4ae8-9e93-5630072d7bff&istItemId=-xralltwqqw&istBid=tztx&affid=14070&channelref=google_shopping&mk=abc&r=2&mk=abc&gclid=CjwKCAjwns_bBRBCEiwA7AVGHmXnfQYKmiicy6ZfeORUanIgMlSV4IBL1c4_-aA02z3uRn3LPVi06RoCcuUQAvD_BwE&gclsrc=aw.ds,200,200,200,200,#ERROR!,#ERROR!
15-20,Male,Creative,DIYer,25-50,https://www.bestbuy.ca/en-ca/product/8-5-inch-lcd-drawing-writing-tablet-electronic-pad-message-board-digital-tablets-with-stylus-pen/12785898.aspx?,https://www.urbanoutfitters.com/en-ca/shop/lomography-konstruktor-35mm-camera-diy-kit2?adpos=1o1&cm_mmc=SEM-_-Google-_-PLA-_-177020967658_product_type_a_product_type_media_product_type_camera_brand&color=001&creative=217450512889&device=c&gclid=CjwKCAjw2MTbBRASEiwAdYIpsXoDSTwaCMTWz7OZftQPGywbOUl6bl2Ob5ekanWDqzi0BpvNcjS5SRoCjJQQAvD_BwE&inventoryCountry=CA&matchtype=&mrkgadid=3084095100&mrkgcl=1033&network=g&product_id=45106689&size=ALL&utm_campaign=PLA,https://www.urbanoutfitters.com/en-ca/shop/smartphone-magnifier-20?category=SEARCHRESULTS&color=001,https://www.spreadshirt.ca/create-your-own?department=1&productTypeCategory=25&productType=111,https://www.urbanoutfitters.com/en-ca/shop/lego-brick-alarm-clock?category=room-decor-accessories&color=040,-,200,#ERROR!,#ERROR!,200,#ERROR!,#ERROR!
15-20,Male,Creative,Visual_Artist,50-100,https://www.urbanoutfitters.com/en-ca/shop/fujifilm-x-uo-instax-mini-9-instant-camera?category=Cameras%20%2B%20Film&color=053,https://www.herrschners.ca/product/schipper+lion+polygon+art+paint+kit.do?sortby=newArrivals&refType=&from=fn,https://www.urbanoutfitters.com/en-ca/shop/lomography-sprocket-rocket-panoramic-35mm-camera?adpos=1o2&cm_mmc=SEM-_-Google-_-PLA-_-177020967658_product_type_a_product_type_media_product_type_camera_brand&color=001&creative=217450512889&device=c&gclid=CjwKCAjw2MTbBRASEiwAdYIpsW7n2--WZb1OcaywsEbiM2A4-znh5fy12HLGJAYB2eRXfGfUJackuRoCa_kQAvD_BwE&inventoryCountry=CA&matchtype=&mrkgadid=3084095100&mrkgcl=1033&network=g&product_id=47867031&size=ALL&utm_campaign=PLA,https://safespecial.com/products/bmw-logo-led-neon-sign?variant=12188353036371&gclid=CjwKCAjw2MTbBRASEiwAdYIpsWks-l50gVK7yBm1ZEhIy4UmCXr8HwLjvJFG__i7M5ODyhK646LJjRoCK_gQAvD_BwE,-,-,#ERROR!,200,#ERROR!,200,200,#ERROR!
15-20,Male,Creative,Musician,50-100,https://www.walmart.ca/en/ip/crosley-cruiser-deluxe-portable-turntable/6000196822276?cmpid=sem_pla_google_en_none_6000196822276_10003200346000188523767_10245&gclid=Cj0KCQjwnNvaBRCmARIsAOfZq-0BeYeXw5F19VgJUJe_I5kYYEys1Z3XbXpvvz6CGOxmFaf4b9FSGbAaArXREALw_wcB,https://www.uncommongoods.com/product/record-clock,https://www.urbanoutfitters.com/en-ca/shop/crosley-mockingbird-bluetooth-radio-speaker?category=audio-accessories&color=045,https://www.long-mcquade.com/16563/Guitars/Ukuleles/Kala/Mahogany-Soprano-Ukulele--no-Binding.htm,https://www.bedbathandbeyond.ca/store/product/rock-and-roll-it-drum/1060223470?skuId=60223470&mrkgcl=610&mrkgadid=3281585073&rkg_id=0&mcid=PS_googlepla_nonbrand__&product_id=60223470CA&adpos=1o7&creative=259255478559&device=c&matchtype=&network=g&gclid=Cj0KCQjw2f7bBRDVARIsAAwYBBsbO93TLAQyJV6Vnaku-lHb6qU5mEBTnosBwZnROWDhvCQaIjld_nEaAoogEALw_wcB,https://support.spotify.com/ca-en/article/spotify-gift-cards/,200,#ERROR!,#ERROR!,200,200,200
15-20,Male,Creative,DIYer,50-100,https://www.uncommongoods.com/product/build-your-own-pinball-game,https://www.urbanoutfitters.com/en-ca/shop/interchangeable-poster-light-box?category=neon-lights&color=000,https://www.bestbuy.ca/en-ca/product/blue-microphones-blue-microphones-snowball-condenser-mic-black-1929-snowball-blk/10425172.aspx?,https://store.nike.com/us/en_us/pw/mens-nikeid-converse-shoes/1k9Z7puZpirZoi3,https://www.uncommongoods.com/product/new-york-times-custom-front-page-puzzle,https://www.uncommongoods.com/product/sneaker-customization-kit,#ERROR!,#ERROR!,200,200,200,200
15-20,Male,Creative,Fashion_Enthusiast,50-100,https://www.spreadshirt.ca/create-your-own?department=1&productTypeCategory=25&productType=111,https://www.etsy.com/ca/listing/598604855/louis-vuitton-art-poster-star-wars-art?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=hypebeast%20poster&ref=sr_gallery-1-17,https://herschel.ca/shop/travel/chapter-travel-kit-woven?v=10356-01820-OS,https://www.stadiumgoods.com/coated-linen-camp-cap-su4227-navy,https://www.urbanoutfitters.com/en-ca/shop/fila-logo-sling-bag?adpos=1o1&cm_mmc=SEM-_-Google-_-PLA-_-82420978744product_type_l1m%26product_type_l2acc%26product_type_l3&color=010&creative=217450512928&device=c&gclid=CjwKCAjw2MTbBRASEiwAdYIpsckVi8WpJjbCZhBcdMIqB5elhseElCA6AqULuu0_WLeGc2lbhC__wBoCPJwQAvD_BwE&inventoryCountry=CA&matchtype=&mrkgadid=2988725314&mrkgcl=1033&network=g&product_id=43841030&size=ALL&utm_campaign=PLA,https://www.aosom.ca/plap/homcom-wall-mount-heavy-bag-hanger-punching-bag-bracket-pull-up-bar-training-grey~2059.html?gclid=Cj0KCQjw5NnbBRDaARIsAJP-YR8kq6VFBOYZO-0EgFil8RxvLCP8wSD-czmoXKLfJzvnPswJ1Q2XrLsaAjS9EALw_wcB,200,200,200,200,#ERROR!,200
15-20,Male,Creative,Visual_Artist,100-150,https://www.bestbuy.ca/en-ca/product/wacom-intuos-6-0-x-3-7-graphic-tablet-with-stylus-ctl4100-black/12352380.aspx?,https://www.urbanoutfitters.com/shop/lomography-diana-f-instant-camera2?category=cameras-film&color=045,https://www.urbanoutfitters.com/en-ca/shop/polaroid-originals-onestep-2-camera?category=on-campus-tech&color=003,https://www.bhphotovideo.com/c/product/1139453-REG/polaroid_polmp01b_zip_mobile_printer_black.html,-,0,200,#ERROR!,#ERROR!,200,200,#ERROR!
15-20,Male,Creative,Musician,100-150,https://www.chapters.indigo.ca/en-ca/electronics/urbeats3-earphones-with-lightning-connector/190198505682-item.html?ikwsec=Home&ikwidx=20,https://www.strapgraphics.com/,https://www.urbanoutfitters.com/en-ca/shop/crosley-uo-exclusive-seafoam-velvet-cruiser-bluetooth-record-player?category=audio-accessories&color=044,https://store.google.com/ca/config/google_home_mini?sku=_google_home_mini_charcoal&gclid=CjwKCAjwns_bBRBCEiwA7AVGHs_X2IuyTlJoL_8bWlWGTORXapOQT5rwnqcxty50T3FqYIbFaWYeHRoCWSEQAvD_BwE,https://www.gearcity.ca/product/recording-equipment/recording-controllers/behringer-cmd-touch-tc64-clip-launch-controller-with-64-buttons/?gclid=EAIaIQobChMIkcvHufbx3AIVwSSGCh1z9wU3EAYYBSABEgID9_D_BwE,-,#ERROR!,200,#ERROR!,#ERROR!,200,#ERROR!
